agent,strategy,feature_id,phase,input_tokens,output_tokens_estimated,total_tokens_estimated,latency_ms,schema_valid,escalated,attempts
gemini,inject-full,feat-node-004,techspec,536,59,595,1,true,false,1
gemini,inject-full,feat-node-004,tasks,519,78,597,1,true,false,1
gemini,inject-full,feat-py-004,prd,529,138,667,1,true,false,1
gemini,inject-full,feat-py-004,techspec,541,59,600,1,true,false,1
gemini,inject-full,feat-py-004,tasks,523,79,602,1,true,false,1
gemini,inject-full,feat-go-004,prd,515,129,644,1,true,false,1
gemini,inject-full,feat-go-004,techspec,527,57,584,1,true,false,1
gemini,inject-full,feat-go-004,tasks,509,74,583,1,true,false,1
gemini,inject-full,feat-go-005,prd,521,135,656,1,true,false,1
gemini,inject-full,feat-go-005,techspec,533,57,590,1,true,false,1
gemini,inject-full,feat-go-005,tasks,515,75,590,1,true,false,1
gemini,summary,feat-node-001,prd,248,133,381,1,true,false,1
gemini,summary,feat-node-001,techspec,260,59,319,1,true,false,1
gemini,summary,feat-node-001,tasks,242,76,318,1,true,false,1
gemini,summary,feat-node-004,prd,250,136,386,1,true,false,1
gemini,summary,feat-node-004,techspec,262,59,321,1,true,false,1
gemini,summary,feat-node-004,tasks,245,78,323,1,true,false,1
gemini,summary,feat-py-004,prd,253,138,391,1,true,false,1
gemini,summary,feat-py-004,techspec,265,59,324,1,true,false,1
gemini,summary,feat-py-004,tasks,248,79,327,1,true,false,1
gemini,summary,feat-go-004,prd,243,129,372,1,true,false,1
gemini,summary,feat-go-004,techspec,255,57,312,1,true,false,1
gemini,summary,feat-go-004,tasks,238,74,312,1,true,false,1
gemini,summary,feat-go-005,prd,249,135,384,1,true,false,1
gemini,summary,feat-go-005,techspec,262,57,319,1,true,false,1
gemini,summary,feat-go-005,tasks,244,75,319,1,true,false,1
gemini,on-demand,feat-node-001,prd,287,133,420,1,true,false,1
gemini,on-demand,feat-node-001,techspec,299,59,358,1,true,false,1
gemini,on-demand,feat-node-001,tasks,282,76,358,1,true,false,1
gemini,on-demand,feat-node-004,prd,290,136,426,1,true,false,1
gemini,on-demand,feat-node-004,techspec,302,59,361,1,true,false,1
gemini,on-demand,feat-node-004,tasks,284,78,362,1,true,false,1
gemini,on-demand,feat-py-004,prd,293,138,431,1,true,false,1
gemini,on-demand,feat-py-004,techspec,305,59,364,1,true,false,1
gemini,on-demand,feat-py-004,tasks,287,79,366,1,true,false,1
gemini,on-demand,feat-go-004,prd,283,129,412,1,true,false,1
gemini,on-demand,feat-go-004,techspec,295,57,352,1,true,false,1
gemini,on-demand,feat-go-004,tasks,277,74,351,1,true,false,1
gemini,on-demand,feat-go-005,prd,289,135,424,1,true,false,1
gemini,on-demand,feat-go-005,techspec,301,57,358,1,true,false,1
gemini,on-demand,feat-go-005,tasks,283,75,358,1,true,false,1
